File Name,Pre-signed URL
Dunmar-Alexandria-Rec1_chunk1.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec1_chunk1.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=6cdedebf92baa89ddd5dcbb0badea9fd9ce9ce5764e1d71319d7b5acf954a614
Dunmar-Alexandria-Rec1_chunk2.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec1_chunk2.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=e6174445f1b81c41cc8719646ae69d8f033decb5bce28d4d9fb6f73a724ab77e
Dunmar-Alexandria-Rec1_chunk3.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec1_chunk3.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=ed6c427367642f5a4a17cc8d96ac82e0430191ed079baefa63ff650be2ef648c
Dunmar-Alexandria-Rec1_chunk4.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec1_chunk4.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=2799cfe06170314c4ea5f46f938b937948446ab87943c902fc806104686f1df9
Dunmar-Alexandria-Rec2_chunk1.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec2_chunk1.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=7275178f8d6fe55a3bfbd343b0d9740c02d1874df796bbe1514e030d7e7b4151
Dunmar-Alexandria-Rec2_chunk2.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec2_chunk2.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=9782ad467a70d1b07b08b0b91ed80429a276ba5752d022080c4797df3fe5bb71
Dunmar-Alexandria-Rec2_chunk3.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec2_chunk3.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=f451cadd4f97f43da7e69df3424b9dec0e7ea24971d71d1fcf2b74a1645622a1
Dunmar-Alexandria-Rec3_chunk1.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec3_chunk1.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=2eee4bddf2e16a31d0c88ec469df49b098c331ab03786fd7910e7f3af7de9dd3
Dunmar-Alexandria-Rec3_chunk2.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec3_chunk2.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=3164c8cf4d29c028b0d37a3de0a17753b01525fd63724f0f1b86e685bcc31a4d
Dunmar-Alexandria-Rec3_chunk3.mp3,https://taelgar-session-audio.s3.amazonaws.com/Dunmar-Alexandria-Rec3_chunk3.mp3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3ISBVVQPIFLC2GXP%2F20241007%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20241007T135829Z&X-Amz-Expires=7200&X-Amz-SignedHeaders=host&X-Amz-Signature=a6de1dc90cca0f88ca5c368c521b1d7fbdcdcb6f9aab493bc8206ff4689a6495
